stop_id,stop_name,stop_lat,stop_lon,zone_id
1,Bom Jesus,41.554462,-8.381193,2
2,República II ,41.553543,-8.383646,2
3,República I,41.555836,-8.385874,2
4,Lusíadas III ,41.557831,-8.391278,2
5,Lusíadas II (Limite 2/1),41.556873,-8.394008,2
6,Lusíadas I ,41.556095,-8.395412,1
7,João Paulo II (INL)  ,41.555161,-8.401123,1
8,João Paulo II (Parque Rodovia),41.554134,-8.403511,1
9,João Paulo II (Piscinas),41.551556,-8.409611,1
10,João XXI (C Amarante),41.550392,-8.412413,1
11,João XXI (31 de Janeiro),41.549461,-8.414636,1
12,Central IV ,41.551861,-8.421896,1
13,A Herculano (Penedos),41.554062,-8.423612,1
15,S Martinho (Viaduto),41.553761,-8.430258,1
16,Irmãos Roby,41.551399,-8.433107,1
17,Nova Estação I ,41.549252,-8.434851,1
18,Costa Gomes I ,41.553741,-8.436741,1
19,Costa Gomes II,41.553902,-8.440414,1
20,Costa Gomes III (S Frutuoso),41.556564,-8.441819,1
21,Costa Gomes IV,41.558407,-8.444840,1
22,Costa Gomes V (Limite 1/2),41.559628,-8.446474,1
23,Cima ,41.564182,-8.449716,2
24,Baixo I,41.566326,-8.450525,2
25,Baixo II (Limite 2/3),41.568378,-8.451051,2
26,Ramoa,41.570930,-8.452004,3
27,Pateira I,41.573166,-8.452606,3
28,Pateira II,41.575954,-8.452955,3
29,Pateira III,41.579136,-8.453194,3
30,Carmo I (Capela),41.582039,-8.453871,3
31,Carmo II ,41.585255,-8.455255,3
32,Carmo III (Vieira),41.587337,-8.456655,3
33,Presa I,41.590057,-8.458449,3
34,Presa II,41.592705,-8.460301,3
35,Carmo II ,41.359600,-8.272095,3
36,Baixo I,41.565945,-8.450496,2
37,Cima ,41.564358,-8.449926,2
38,Costa Gomes V (Limite 2/1),41.559540,-8.446523,2
39,Costa Gomes III (S Frutuoso),41.556904,-8.442421,1
40,Costa Gomes I,41.553841,-8.437619,1
41,Rotunda Estação I,41.549126,-8.434159,1
42,Caires ,41.545601,-8.433762,1
43,Caires,41.546326,-8.433485,1
46,Cons Torres Almeida I,41.551708,-8.428521,1
47,Conde Agrolongo III ,41.552834,-8.426627,1
48,Liberdade (Igreja S Lázaro II),41.546749,-8.420400,1
49,João XXI (31 de Janeiro I) ,41.548450,-8.416286,1
50,Feital,41.559540,-8.447282,2
51,João Paulo II (Piscinas),41.551132,-8.410154,1
53,João Paulo II (Parque Rodovia),41.553753,-8.403827,1
54,João Paulo II (INL)  ,41.555187,-8.400393,1
55,Lusíadas I ,41.556175,-8.396592,1
56,D João II,41.553871,-8.395221,1
57,D João II,41.554169,-8.394892,1
58,República II,41.553333,-8.384117,2
59,República I,41.555538,-8.386674,2
60,Lusíadas III ,41.557472,-8.390830,2
61,Lusíadas IV (Tenões),41.556965,-8.388947,2
62,Lusíadas IV (Tenões),41.556118,-8.388640,2
64,Baixo II (Limite 3/2),41.568367,-8.451130,3
66,Norton Matos I,41.555218,-8.424519,1
67,Norton Matos II,41.555386,-8.424589,1
68,Quinta Santa Maria (Fábrica),41.539272,-8.435828,1
69,Cons Januário (Igreja),41.556145,-8.421504,1
70,Cons Januário (Sá de Miranda),41.557056,-8.418748,1
71,Cons Januário (Sá de Miranda),41.556946,-8.419201,1
72,Gabriel P Castro I,41.555965,-8.422210,1
73,Infias,41.557991,-8.417325,1
